Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mexico,5.565852947,4.114775126,4.149208485,4.026672973,4.63842565,4.527221743,4.270442926,4.035587831,3.874318767,3.832228484,4.367928282,4.249378496,3.962146563,3.902160106,5.872994454,9.426776348,8.974673306,12.31329892,no data,no data,11.81705254,10.82587438,11.76181523,12.77129392,13.0785425,14.90384532,21.10055715,21.28587724,19.21260763,18.42717161,14.87936076,no data,29.75371798,25.30122279,25.21797766,30.44729122,47.81725388,52.67901781,36.48919433,36.0303405,35.67558902,29.21470602,21.51817919,19.24417999,26.84388136,30.74349991,23.93233482,19.74050108,21.0082138,19.47851649,18.19186983,17.56616569,19.21732786,20.19004027,19.20380557,18.71362291,19.14630459,19.55193207,22.94542881,26.18879399,25.73671301,26.56483585,26.94024469,29.53314633,31.44322769,33.77819299,35.87860097,34.26567777,34.39623323,35.12669994,40.28829681,40.19027543,39.48370837,39.97167088
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.76690516,40.14796113,48.13649305,82.93355618,77.86738239,71.59015889,60.81684133,59.55598936,52.874223,40.051348,33.256196,30.279629,23.19520776,18.44264949,24.19766287,21.87275287,19.46537637,20.0840575,19.67788442,20.58009045,22.99033492,31.58036188,29.35125017,27.51074075,25.4510312,33.95558025,32.11878306,34.35181249,33.65784023
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.93729317,36.11312335,30.99245341,48.53559466,30.97508466,32.6525827,43.69201549,49.42344757,43.9627848,50.54688641,78.67780667,75.41519124,65.17676727,62.47516631,75.17882216,61.28491802,59.04814731,45.79007766
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.47807297,42.28780607,40.22678396,38.56823946,32.31426557,27.41409111,28.8303024,38.08428243,40.66122896,45.43949502,53.41984242,57.48731368,56.18692382,62.29668968,60.77013574,61.1261776,67.61509973,74.91177541,103.4709153,82.54135726,67.96620132,59.29472762
Morocco,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.48632219,29.23676012,30.02205882,29.31417374,27.0483602,28.34493283,28.77639711,27.72550362,26.42205002,24.58669596,33.40601521,36.19314873,47.49248987,52.52515419,52.06575162,52.81942679,66.65573969,70.72159121,83.55894517,93.26822149,104.0002638,94.33356138,100.6719445,88.99412201,91.95061435,88.51723931,76.22109406,75.22496111,79.04248609,74.68069111,72.22015846,65.33450293,67.95561191,64.51961223,63.36304744,64.85962631,60.43498798,59.37189541,56.92908814,54.43133594,54.76736643,50.64220689,47.06593338,41.99061222,42.62201581,45.27551729,48.55482942,52.28203398,57.07609206,58.56392805,58.39429599,60.08431353,60.26068527,60.45830241,60.27047126,72.24450272,69.35074885,71.5320189,69.47035517
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.67576656,95.81819628,99.76566463,63.35073426,63.15666965,50.76656262,60.08419786,40.02858782,31.18060176,32.75541603,39.32853652,38.55117012,34.15516675,36.67892527,49.48241581,63.40251206,86.03445879,124.8076294,103.7922354,105.5254804,98.26176394,119.9664343,104.3355795,100.2585314,93.88250152
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.06858297,27.19405587,31.3600747,34.83579649,36.59519021,37.07259659,34.80977582,36.12911851,35.63032244,34.61544226,30.84094887,no data,no data,no data,no data,no data,no data,no data,no data,130.6647002,132.5468643,124.6926832,114.0920107,107.7305605,118.9764332,no data,no data,no data,214.4608901,154.9197647,169.0705971,269.3049048,195.9612893,150.1043389,130.1228028,122.2839628,105.9782653,79.52454304,61.48196945,57.99464571,55.90774402,51.33098981,49.3194533,46.09764366,35.44592274,36.37404365,38.33438936,40.10527082,40.41543518,38.75277603,40.58487083,61.28637183,62.36847163,59.65503401
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.28567359,12.93585139,11.84055516,14.10888998,17.1649302,16.41163025,17.99078583,18.72481783,17.71681789,19.57420019,21.79696588,20.85884782,24.39321825,22.1873578,27.14572501,29.17918969,26.89743411,26.13557549,19.36414341,19.09699494,15.85073437,16.32815921,27.44961481,24.62784323,26.11341137,27.57162002,42.09002084,45.83294349,43.82930783,48.74446165,57.56836798,64.29672368,69.60293682,70.03813804,66.14487597
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.559135621,1.302633407,1.733995279,2.486177043,2.829127363,3.717933685,6.50588326,9.00879596,8.784878566,9.374100205,11.71014194,12.677734,17.98046527,22.63728819,25.21682906,28.89919236,31.34857388,36.32476332,35.90035122,40.76921657,45.98853663,45.89298559,50.19611465,50.984605,52.89417432,52.12360204,50.2833882,47.18514598,51.37015084,55.78679486,50.78766945,50.76633584,51.81523964,52.97445424,51.32352381,45.1326576,42.86872675,37.88510397,36.75729107,39.46244891,35.39092816,32.42461426,34.51481556,31.89880382,27.55102057,25.73044637,24.95734391,24.98910752,31.08785112,34.03006748,43.3074423,43.28486762,42.73003199,47.12419456
New Zealand,88.99429786,85.0774024,79.86461985,74.0022976,69.56977674,68.38202337,65.74929594,63.86055934,63.55047347,62.26102425,59.94960515,60.39895102,58.04861782,57.26173334,54.82211204,53.37212158,54.14090386,55.7112142,57.29550381,55.0388937,49.60366633,44.47586908,40.55019513,38.50832736,37.71555236,36.69577867,40.18418376,43.08233244,45.25419947,45.64972736,44.67812617,43.04067637,46.51416514,55.70077656,56.53567169,62.41389255,68.45621786,62.86152984,54.68121541,55.03674552,55.424261,58.00453121,58.67924137,54.58258842,48.91719077,43.4820097,37.25717808,34.64343983,34.47559697,31.99583098,30.02465478,28.15975824,26.39624933,24.71818319,22.50512807,20.78037144,18.40089221,16.3075272,19.00310511,24.33524776,29.67756022,34.7224855,35.72864182,34.57612404,34.17675017,34.19182913,33.37344881,31.12740221,28.09991537,31.84961931,43.29686568,47.53586537,47.14063251,45.77209376
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.40458023,86.46996253,99.82642823,95.21935516,87.47554513,110.3854946,109.5402051,84.04752196,66.60760263,51.15567409,30.91601366,25.99924286,29.25814739,30.34714632,28.79434413,27.85245654,28.83544882,28.68961852,28.91078254,30.92338861,33.72093129,37.89309489,41.76270027,47.82132755,47.1446749,44.63656603,41.67778145
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.76489051,7.375390934,8.919727759,9.480943901,13.26837361,11.75993398,10.76064929,8.771769823,10.54842942,10.53758756,13.78037792,23.16318657,24.98781262,32.09530907,39.94773978,48.46092653,44.32593798,44.63867919,44.62033626,40.73614254,41.26617133,41.07993467,40.78836668,45.01677865,72.19008358,64.36612107,63.5074506,69.10090889,61.28432629,63.34753455,82.10446427,73.98228516,69.03539246,60.60383884,55.04979751,49.46022495,18.28281091,17.83029464,14.17010291,15.9360618,15.07810422,14.7467201,18.12965975,19.55442183,22.08588026,29.870103,32.82682659,36.50714507,37.00964116,39.78696902,44.97074272,51.33760784,50.59879781,56.56637026
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.02169312,11.45758109,6.495901284,5.219758494,4.822074863,5.628380851,4.287867889,3.941380586,4.011239866,5.75976798,7.930720362,8.30647788,8.356311865,11.44873726,15.3788184,21.63882269,23.21873502,23.60903029,37.6608491,66.5632838,58.28106972,62.80231407,62.41956197,69.01531919,66.91211866,66.42137885,55.12134405,37.21849023,24.53016179,23.05227518,22.43204915,52.78139051,55.97953189,51.7258588,38.70475117,37.69836055,31.03814531,18.94016655,9.404121196,8.116330906,7.276108146,8.617231853,9.449583046,10.23286152,10.4193367,10.48340164,10.57889833,11.50321542,14.17212788,15.98578063,24.96958663,26.45989467,31.02671582,32.57905915,35.91092998,42.95010795
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.4309783,18.18718336,20.03862665,25.04221098,no data,no data,no data,no data,39.5589557,35.70774058,33.90267081,35.99776883,29.79053758,22.8808148,19.96658678,23.14192278,23.67811889,27.37464023,33.28258624,33.82872278,37.9156405,37.87002132,39.72142389,39.2921794,40.30682608,40.35963256,50.68239418,51.21353499,50.35939558,53.03589773
Norway,31.53177825,26.34364196,23.79550706,25.96146627,26.18922456,26.70104511,26.86066825,28.14645142,28.46089571,29.897832,29.46085476,25.10655892,24.27607931,22.97555248,22.07506861,19.77613922,19.43528859,20.17771133,20.16998743,19.90780208,20.64238684,21.22357908,22.78456454,23.05100299,22.85137772,24.12888993,25.69807896,30.43683479,35.24149084,38.17399591,33.58782703,29.49429198,25.67142769,20.5499315,22.86381065,25.31818877,33.38717882,26.02811577,25.06746135,24.89652671,21.98631215,22.52419984,26.69104272,34.64636427,32.34363489,30.18712771,27.00675944,24.19778506,21.80052471,20.43366412,18.94519499,17.78766829,18.60613946,20.92440462,17.93802775,16.73137917,12.10689873,11.24273041,13.346933,25.72701204,25.07328187,19.8372272,20.69151277,19.54626278,15.35380262,15.42456144,16.54721465,15.70961968,14.64720897,14.19611024,18.42984768,15.09120175,12.84582103,13.81514936
Oman,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.194616196,2.083296812,11.9927232,9.55150116,10.99909804,5.732287494,6.215545629,0.276063522,0.13247966,0.020819811,1.095196936,0.599094134,0.634472364,1.326852852,4.534441601,2.299337095,4.322447994,1.869576938,0.97826277,22.60795976,23.07594755,22.2286707,23.6319454,21.88005173,21.21885023,20.76854632,30.92462356,28.92460465,21.73878057,22.45242505,15.88191143,13.03446736,14.52589902,8.387726421,7.563027511,4.440363213,3.199479475,5.80486878,5.461978959,4.442438972,4.586257949,4.660549272,4.038680231,13.85657473,29.33806513,40.10569113,44.69061233,52.46377181,67.90217152,61.87394204,40.89489963,36.48369384
Pakistan,no data,10.7770373,12.75726603,13.65967167,15.45870048,14.79101487,15.35237294,17.28477647,18.69199003,17.41096615,17.75268439,16.99957246,16.64169458,19.16512174,21.31582425,22.67287966,25.05509836,25.93803935,27.52470455,29.12569923,31.57240794,33.19303436,88.67533916,43.38535372,37.97350219,32.08643912,35.8403068,36.4062018,36.14882243,36.76386715,33.28208799,29.65363223,33.77376684,33.57619405,33.38278892,37.04079096,43.07120035,44.37504136,44.9722619,46.61770836,48.27972371,55.77484612,53.33228458,57.93442435,58.53122651,52.32881299,52.53409049,52.7752939,53.8157959,60.73686318,61.67327591,65.14809341,60.53118214,56.32601811,50.60920658,47.8780649,46.18933304,43.85353159,49.11441067,53.36132189,55.25903031,55.06540201,57.28064175,58.25782342,57.81717704,57.885835,60.80878111,60.85596104,64.81953026,77.50451766,79.5588403,73.50793663,76.15856611,77.29071388
Papua New Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.132127117,8.798526077,11.18178626,15.75207654,14.22864158,16.45020352,18.11041101,15.15183954,14.38508795,16.4634705,18.30455698,20.08581282,22.76734041,25.612037,29.21454671,32.20572791,33.61653336,36.74667017,24.95813861,27.73296109,33.10289072,31.51968388,30.39580797,29.99182376,40.066328,36.56582844,37.79669481,43.9184991,45.73065426,41.75708177,42.33338979,47.66439892,48.43234456,40.41998208,37.17648858,31.56209143,25.98049824,22.15664227,21.55532122,21.71617419,17.28586272,16.27835394,19.1239288,24.88958091,26.894612,29.93076115,33.74013126,32.48437021,36.67618005,40.59287388,48.67999197,52.57595075,48.25533663,52.04803712
Paraguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.80040011,34.52560312,34.38926553,31.83186887,25.30307682,25.41273723,27.02337818,24.25730141,25.31311219,21.36642691,18.79931759,16.31950733,19.77764979,23.32872496,30.25586505,41.12863004,40.32144095,57.05243549,39.84063557,56.12812223,39.32508895,25.75290154,25.39656082,24.60816145,23.91786351,21.33095517,19.969283,19.05066804,23.56097997,27.66813603,30.24188848,30.230879,42.6748022,32.18635502,22.56831136,18.44573669,14.21022425,11.7894338,10.16167754,9.764962805,8.717725455,7.403143562,9.148407704,10.37023074,12.42674405,14.82664429,15.49437938,15.8986442,17.85787888,20.83032225,30.9515068,30.85867915,33.61938109,33.59910995
Peru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.39787712,43.57945504,39.83348989,37.2269069,29.91715389,25.78004523,23.17134699,22.71671573,20.66067008,18.36609845,16.85679442,16.09976454,17.00764599,20.08324934,21.04655847,21.2191596,21.89376567,23.03373901,30.57904098,32.3835584,30.76308966,no data
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.502337355,7.556644062,8.293216919,10.34464225,3.253212038,13.7521505,19.95860382,21.26091337,60.33552372,48.43235549,42.95653769,42.39484071,39.09343475,39.54115769,36.2028881,32.88127229,41.19332573,44.92310177,44.13370689,46.57169671,46.60915201,42.23390476,44.33407402,46.02734718,48.93098795,49.63357811,49.22394992,51.40862608,45.86382906,46.40335071,50.11135952,46.82649736,44.87497499,42.53186312,46.94757125,43.24984843,40.37400422,39.63763825
Portugal,20.71037746,19.67065792,19.2338379,17.81652989,18.23717151,17.33805552,16.13877431,15.29999111,18.83945292,18.27763988,17.47444461,17.58697831,20.3638146,21.57637985,22.77774383,22.06027176,21.3503907,19.53340563,18.0413225,17.28503811,17.01366071,16.78180457,15.69238903,15.0706384,14.68085398,21.09677098,25.60651479,26.68277768,29.46752173,20.26182365,29.09627583,35.83665377,39.18887471,42.52079278,47.14810836,50.75490454,50.65684012,56.62104778,56.03817753,54.63539233,50.65400483,51.68407289,49.65595231,55.41687393,57.38762485,60.13460843,61.31321567,57.27595477,55.07779736,55.42154773,53.56326583,56.09570532,58.49634735,62.10472123,65.11858253,69.67399483,71.11555127,70.2220267,73.29701155,84.93732627,97.41396397,111.9785663,128.1043592,131.0141279,133.5105808,132.0342635,132.9402466,128.7607727,124.6441003,119.5145696,138.7639769,128.949662,117.2971628,105.0207382
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.58962331,21.77028353,19.90952752,46.27888475,54.77685275,50.20409237,57.83715454,54.38221626,76.56518898,81.84591059,51.59936088,59.22463168,47.66579037,38.78811579,30.06095164,19.12558362,13.94701919,9.365215074,11.35667783,35.98043339,30.42520426,33.4738776,32.11841064,30.88322557,24.91195724,35.54688118,46.70677434,51.56880701,52.17736098,62.08743467,72.61403096,58.39596469,42.57676734,43.34161797
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.82334429,18.88314181,18.37720634,18.65443074,22.9583285,23.10075909,27.38727028,26.80101004,23.46157934,19.90458882,16.12901539,13.41829593,13.01288657,12.48988116,21.1801443,27.96141958,31.40081127,34.11546405,36.62214027,38.26778759,37.36165759,38.07563563,35.93375071,35.28517444,35.68530993,47.03326504,48.91565801,47.91755837,49.20029763
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,116,92.4,63.5,53.7,51.9,54.7,73.1,88.7,58.8,48.5,34.5,27.8,21.7,13.28862264,8.443885718,6.74505495,6.086902785,7.775823854,8.380488951,8.888445139,9.573523808,11.05804746,13.78640609,14.14899884,13.84524804,13.49453762,12.91772868,13.16388013,18.49552742,no data,no data,no data
Rwanda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.7838211,5.586607096,7.623651805,8.826782583,8.411104735,7.473945701,8.831202191,9.892945601,11.63330238,9.227616971,12.20200434,13.90945499,15.24255022,17.66575084,21.02040559,20.64568276,24.21318841,29.88791788,33.00874481,26.91776861,49.17050812,47.84068972,47.91021715,50.98810309,54.7706779,91.86854665,83.44702,72.22704479,70.09936636,78.36691942,85.99064892,84.02128959,92.02700692,79.534981,80.942806,58.93734201,22.49183409,22.09793441,18.27994599,18.49175691,18.81029251,18.71719961,19.08626572,26.06505341,28.30825965,32.36881022,36.54667049,41.31654259,44.94744849,49.8538622,65.64071618,66.58110233,60.57952501,64.47269085
Saint Kitts and Nevis,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.42230692,18.74810596,17.40405718,15.09764026,14.57472725,14.09712714,13.03906696,15.71524905,13.04304187,10.07308188,7.871056417,11.21184778,14.53943308,9.793239484,13.22359411,14.95850467,22.44978467,21.35596839,18.73067397,12.60728881,no data,88.71571698,98.43064733,92.82157178,84.57337322,87.01542727,91.16374144,85.83683397,81.64901177,56.00942646,44.84837062,37.15451498,33.59370291,31.80394728,25.36741168,23.95670705,28.20083139,27.9148892,24.25844938,no data
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.17815524,15.86686355,16.12840461,16.40072732,17.13242039,17.19870303,19.55288565,18.55938623,18.14615457,16.98075065,19.75285986,22.21320837,22.93358063,23.75356813,22.8962668,24.05481249,27.21235754,29.44920929,28.87845696,32.451296,38.09251375,48.81075738,45.58962601,49.56134102,51.89774581,48.55261851,49.06262176,46.67728842,50.98350666,52.98548347,55.19811405,60.76613557,62.05475186,62.3708571,61.06120446,61.26092702,60.38717682,60.5333152,62.11406609,100.8081629,87.08030916,74.11787983,75.55796531
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.819798833,2.039988616,2.128550962,7.118300802,7.132284517,14.27935356,13.02464741,15.97996243,14.90550785,16.01553358,15.50770327,19.07444405,21.81478339,22.87202313,22.23222186,21.64564788,26.44030405,31.09831127,29.20706827,31.1125032,30.2058655,30.23632222,31.04355956,31.74377659,35.8635751,36.15815254,34.83266466,33.44829981,35.37010397,no data,46.15140729,45.72194292,48.86619132,49.43991635,52.72560455,43.85291744,36.91034883,37.49913713,36.96812259,43.38356103,50.721365,53.9983685,57.83401269,59.55282808,64.79986484,64.96970287,65.01028214,58.02065307,58.83314859,61.22890328,72.92000505,83.52859707,86.3039303,no data
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.949411053,6.23534536,11.28919433,16.96381144,19.55383667,22.42102803,29.06419137,37.06360062,42.72434136,47.11607872,53.77151645,70.40908793,61.06085657,59.10650298,60.70395043,62.18336137,57.78974876,58.37988751,52.45211787,51.56540313,50.52359623,63.88326752,60.41749717,70.02121229,96.33705081,74.111578,65.651776,60.497982,58.94707058,59.44396024,55.76913958,53.78367624,50.28741342,42.76326999,39.84181897,34.15089563,33.49577819,31.46614399,28.17950394,33.25564824,40.28081639,41.52596008,50.92833233,54.07991834,54.87428354,56.36569837,48.99403025,46.68351541,49.40494837,44.29124187,43.18647355,46.29701179,43.70053437,33.42610336
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.91400151,14.4779562,14.15440678,12.62779374,15.4887413,20.06613414,19.9637387,16.62100473,17.24163554,23.16022028,21.01033583,19.30651192,21.46019978,56.73327924,57.20291215,57.41138261,71.64743081,81.28437052,74.51049773,72.25014623
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.83264578,16.09394224,39.35186681,47.79945266,58.59861355,67.86954546,74.24774458,75.20612059,76.70421361,101.523041,102.9917197,86.70176915,93.147733,96.351724,81.56420159,62.92829868,37.34247666,25.83082299,17.11542261,12.05599316,13.98903871,8.425986368,5.340151913,3.012290721,2.127267183,1.540991773,5.668042319,12.67588095,16.5317099,17.63892463,21.55950262,31.00060759,28.61600925,23.93321749,26.22747715
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.54291727,15.10195014,14.20613782,15.70740876,18.9020357,14.89886983,18.89307912,22.02157016,26.91886768,27.36272849,31.19449937,38.31997844,47.2449537,58.85477797,61.25730438,66.51079123,60.69030694,63.27085666,63.57290531,53.94789038,51.10519027,51.774444,49.97071588,53.43900481,77.34132098,65.26368378,62.26885928,67.84545971,18.79983617,14.98925441,57.5140056,53.2088107,51.9928677,42.88333441,37.9985379,36.12993509,17.48667264,18.96278186,19.07349327,29.93741794,34.60037063,32.87723619,34.48883052,36.8604693,42.36570882,44.50872572,47.5235874,61.13942173,61.52287884,63.57525248,69.1655245,73.30596796,75.95391793,81.19934047
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.60360315,33.87437564,27.86803988,26.7510459,30.94253965,39.45558387,42.84045064,52.87979034,56.02837557,66.17393957,69.95539052,67.67847946,57.78822503,53.62188147,51.93139339,56.96838378,56.49310357,55.08730039,51.97416346
Seychelles,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.66243194,6.184320797,6.237116262,7.23655498,4.480876623,4.949292369,no data,no data,2.940864373,6.050005276,7.415823476,12.38795448,15.2701058,26.52502282,31.50679597,36.99412101,41.30205509,39.91865195,36.30725433,41.03328115,79.90513461,82.17974426,123.4526477,133.522371,146.6610165,143.0125295,161.240345,159.7867971,177.8371687,199.7868249,195.8598771,176.974925,163.2258289,144.0642801,135.0705393,143.9971822,192.1023645,106.125315,82.22352741,82.50838387,80.06925976,68.19897477,70.3922687,64.57356806,62.84417976,56.6525747,51.25781978,48.85368712,77.3709426,71.24834759,58.8524523,56.48510355
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.075962475,13.70296691,13.68144947,16.1341525,18.34229518,18.43099078,21.52834421,23.99218493,25.84629434,25.09057619,27.65909836,31.80708377,33.02877336,34.69247012,28.75166118,38.04149088,45.98295957,57.08317284,35.90897118,38.25903483,77.44018147,60.13342879,79.67935369,79.57147686,105.9171127,80.50628642,73.56619304,79.16268735,93.54014263,91.80113999,89.97055633,83.40983765,79.29731282,76.92967819,73.7395866,67.28591071,61.87480796,26.37933854,46.05877012,31.06974937,28.93567973,25.77373871,24.06376147,22.29149074,26.84796996,28.82636039,38.86023562,44.18151101,44.1650948,45.27386996,46.36606513,47.06189076,53.97359869,49.21860624
Singapore,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.62438964,18.70616694,19.77929729,21.1406788,26.75374872,37.3332958,35.24269582,35.5155235,42.08402101,46.21142391,37.40020927,34.56629778,40.76738441,49.22248268,55.26042159,58.21480653,58.63669044,56.70555401,56.46481286,61.00549716,65.77197961,67.28260453,78.7131572,82.63846603,84.02792566,78.28729065,75.37241981,75.60045565,77.89952098,82.06994667,73.89139359,69.36994808,72.02772176,72.378376,71.36093106,83.41479938,87.8605152,83.84217098,93.93637467,97.22302187,101.7593681,97.59752717,94.96678779,89.37024578,89.44710184,96.44771002,106.4002309,101.2792522,104.4980205,107.5103079,99.03123208,99.25940204,102.9595878,108.7204793,109.0882222,110.4767072,127.6385608,151.1303312,149.8762648,157.3701192,177.157815
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.47636473,34.76500363,33.85080321,42.56895057,45.98542691,48.42022085,57.77398865,57.6876141,56.91870234,55.96491366,57.10796439,55.9308502,54.42349703,52.76762059,64.62989497,66.42778719,65.19349102,61.48450572
